Cheyenne County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,33.2,3.0
198902,23.7,-8.7
198903,40.1,-1.9
198904,51.9,1.9
198905,60.9,0.9
198906,66.1,-4.7
198907,75.9,-0.7
198908,72.8,-1.5
198909,63.3,-2.5
198910,53.0,0.5
198911,41.6,1.6
198912,25.6,-4.7
199001,32.0,1.8
199002,31.3,-1.1
199003,41.9,-0.1
199004,51.2,1.2
199005,57.0,-3.0
199006,73.6,2.8
199007,74.6,-2.0
199008,73.6,-0.7
199009,68.4,2.6
199010,53.0,0.5
199011,42.4,2.4
199012,24.9,-5.4
199101,26.0,-4.2
199102,39.7,7.3
199103,42.2,0.2
199104,50.6,0.6
199105,62.3,2.3
199106,72.9,2.1
199107,75.0,-1.6
199108,73.4,-0.9
199109,65.0,-0.8
199110,52.0,-0.5
199111,34.9,-5.1
199112,33.5,3.2
199201,29.8,-0.4
199202,40.0,7.6
199203,44.4,2.4
199204,52.5,2.5
199205,61.4,1.4
199206,66.6,-4.2
199207,72.0,-4.6
199208,69.2,-5.1
199209,65.2,-0.6
199210,53.0,0.5
199211,34.1,-5.9
199212,24.2,-6.1
199301,22.6,-7.6
199302,23.8,-8.6
199303,40.3,-1.7
199304,47.2,-2.8
199305,59.6,-0.4
199306,67.7,-3.1
199307,73.1,-3.5
199308,71.6,-2.7
199309,59.4,-6.4
199310,51.0,-1.5
199311,33.6,-6.4
199312,33.2,2.9
199401,29.7,-0.5
199402,25.7,-6.7
199403,44.4,2.4
199404,50.2,0.2
199405,64.2,4.2
199406,74.2,3.4
199407,73.6,-3.0
199408,75.7,1.4
199409,66.9,1.1
199410,53.8,1.3
199411,38.0,-2.0
199412,34.1,3.8
199501,31.3,1.1
199502,38.3,5.9
199503,39.8,-2.2
199504,45.3,-4.7
199505,52.8,-7.2
199506,67.3,-3.5
199507,74.6,-2.0
199508,78.0,3.7
199509,64.0,-1.8
199510,50.8,-1.7
199511,41.7,1.7
199512,32.3,2.0
199601,26.0,-4.2
199602,34.0,1.6
199603,35.5,-6.5
199604,50.5,0.5
199605,59.4,-0.6
199606,70.7,-0.1
199607,74.5,-2.1
199608,72.4,-1.9
199609,62.0,-3.8
199610,52.6,0.1
199611,35.3,-4.7
199612,30.6,0.3
199701,27.0,-3.2
199702,31.5,-0.9
199703,43.9,1.9
199704,44.4,-5.6
199705,58.7,-1.3
199706,70.5,-0.3
199707,76.3,-0.3
199708,73.0,-1.3
199709,67.0,1.2
199710,52.3,-0.2
199711,37.5,-2.5
199712,30.6,0.3
199801,31.7,1.5
199802,37.3,4.9
199803,37.6,-4.4
199804,48.0,-2.0
199805,63.2,3.2
199806,67.7,-3.1
199807,77.0,0.4
199808,74.1,-0.2
199809,70.5,4.7
199810,53.0,0.5
199811,43.0,3.0
199812,31.1,0.8
199901,33.4,3.2
199902,40.2,7.8
199903,42.4,0.4
199904,47.5,-2.5
199905,59.4,-0.6
199906,69.0,-1.8
199907,78.5,1.9
199908,74.1,-0.2
199909,61.5,-4.3
199910,53.2,0.7
199911,46.3,6.3
199912,36.0,5.7
200001,32.7,2.5
200002,39.2,6.8
200003,42.6,0.6
200004,51.2,1.2
200005,63.0,3.0
200006,69.9,-0.9
200007,78.0,1.4
200008,78.4,4.1
200009,66.4,0.6
200010,54.2,1.7
200011,31.7,-8.3
200012,26.8,-3.5
200101,31.3,1.1
200102,28.8,-3.6
200103,40.1,-1.9
200104,52.3,2.3
200105,60.8,0.8
200106,71.0,0.2
200107,80.1,3.5
200108,76.3,2.0
200109,65.8,0.0
200110,53.1,0.6
200111,43.6,3.6
200112,33.5,3.2
200201,32.0,1.8
200202,34.3,1.9
200203,34.4,-7.6
200204,52.2,2.2
200205,58.8,-1.2
200206,76.6,5.8
200207,79.7,3.1
200208,75.5,1.2
200209,65.6,-0.2
200210,47.8,-4.7
200211,39.9,-0.1
200212,35.2,4.9
200301,33.1,2.9
200302,28.5,-3.9
200303,42.3,0.3
200304,52.2,2.2
200305,60.1,0.1
200306,67.6,-3.2
200307,79.7,3.1
200308,77.3,3.0
200309,64.0,-1.8
200310,57.2,4.7
200311,38.4,-1.6
200312,33.0,2.7
200401,31.0,0.8
200402,31.8,-0.6
200403,46.5,4.5
200404,50.9,0.9
200405,62.9,2.9
200406,67.7,-3.1
200407,72.7,-3.9
200408,70.2,-4.1
200409,67.9,2.1
200410,53.8,1.3
200411,39.2,-0.8
200412,33.6,3.3
200501,29.9,-0.3
200502,37.5,5.1
200503,42.2,0.2
200504,49.8,-0.2
200505,60.2,0.2
200506,70.8,0.0
200507,77.7,1.1
200508,74.3,0.0
200509,68.9,3.1
200510,53.6,1.1
200511,44.3,4.3
200512,30.1,-0.2
200601,39.0,8.8
200602,32.4,0.0
200603,40.4,-1.6
200604,53.7,3.7
200605,62.8,2.8
200606,73.8,3.0
200607,79.0,2.4
200608,74.7,0.4
200609,59.8,-6.0
200610,50.8,-1.7
200611,41.0,1.0
200612,31.2,0.9
200701,19.1,-11.1
200702,25.9,-6.5
200703,48.2,6.2
200704,47.8,-2.2
200705,62.8,2.8
200706,70.1,-0.7
200707,77.4,0.8
200708,77.7,3.4
200709,67.9,2.1
200710,54.9,2.4
200711,41.8,1.8
200712,24.6,-5.7
200801,26.0,-4.2
200802,32.3,-0.1
200803,41.3,-0.7
200804,47.3,-2.7
200805,58.4,-1.6
200806,69.3,-1.5
