Cheyenne County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.28,-0.12
198902,0.25,-0.22
198903,0.22,-0.64
198904,0.87,-0.93
198905,2.55,-0.19
198906,5.94,3.06
198907,1.33,-1.85
198908,2.13,-0.65
198909,1.47,0.02
198910,0.25,-1.13
198911,0.03,-0.57
198912,0.35,-0.09
199001,1.04,0.64
199002,0.27,-0.20
199003,1.78,0.92
199004,1.34,-0.46
199005,4.60,1.86
199006,0.69,-2.19
199007,4.33,1.15
199008,2.35,-0.43
199009,0.95,-0.50
199010,1.73,0.35
199011,1.36,0.76
199012,0.07,-0.37
199101,0.14,-0.26
199102,0.15,-0.32
199103,1.11,0.25
199104,1.80,0.00
199105,3.85,1.11
199106,4.86,1.98
199107,5.17,1.99
199108,2.66,-0.12
199109,1.11,-0.34
199110,1.10,-0.28
199111,1.70,1.10
199112,1.19,0.75
199201,1.26,0.86
199202,0.95,0.48
199203,1.43,0.57
199204,0.08,-1.72
199205,0.88,-1.86
199206,4.38,1.50
199207,3.07,-0.11
199208,6.82,4.04
199209,0.62,-0.83
199210,0.84,-0.54
199211,0.62,0.02
199212,0.20,-0.24
199301,0.63,0.23
199302,1.18,0.71
199303,0.66,-0.20
199304,1.02,-0.78
199305,3.49,0.75
199306,1.60,-1.28
199307,5.88,2.70
199308,3.74,0.96
199309,0.76,-0.69
199310,1.95,0.57
199311,1.04,0.44
199312,0.26,-0.18
199401,1.04,0.64
199402,0.28,-0.19
199403,0.10,-0.76
199404,2.63,0.83
199405,0.76,-1.98
199406,3.09,0.21
199407,3.43,0.25
199408,1.31,-1.47
199409,0.59,-0.86
199410,1.99,0.61
199411,1.04,0.44
199412,0.74,0.30
199501,0.66,0.26
199502,0.31,-0.16
199503,1.14,0.28
199504,3.24,1.44
199505,4.96,2.22
199506,2.80,-0.08
199507,4.36,1.18
199508,0.70,-2.08
199509,1.51,0.06
199510,1.16,-0.22
199511,0.39,-0.21
199512,0.03,-0.41
199601,0.55,0.15
