Rawlins County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,16.6,-0.3
198902,11.8,-7.3
198903,24.1,-3.3
198904,35.2,-0.5
198905,46.6,0.7
198906,52.5,-3.9
198907,61.5,-0.6
198908,60.4,-0.3
198909,49.5,-1.8
198910,36.6,-1.5
198911,25.0,-1.2
198912,11.4,-6.1
199001,18.1,1.2
199002,21.3,2.2
199003,29.5,2.1
199004,37.8,2.1
199005,43.8,-2.1
199006,58.0,1.6
199007,60.4,-1.7
199008,60.3,-0.4
199009,53.2,1.9
199010,37.5,-0.6
199011,28.0,1.8
199012,13.3,-4.2
199101,13.9,-3.0
199102,21.8,2.7
199103,27.9,0.5
199104,38.3,2.6
199105,49.8,3.9
199106,60.1,3.7
199107,61.4,-0.7
199108,60.4,-0.3
199109,50.1,-1.2
199110,35.1,-3.0
199111,23.5,-2.7
199112,22.9,5.4
199201,20.9,4.0
199202,27.6,8.5
199203,30.8,3.4
199204,37.4,1.7
199205,45.4,-0.5
199206,54.7,-1.7
199207,58.4,-3.7
199208,56.2,-4.5
199209,49.8,-1.5
199210,37.5,-0.6
199211,24.5,-1.7
199212,12.8,-4.7
199301,12.7,-4.2
199302,12.8,-6.3
199303,27.5,0.1
199304,35.4,-0.3
199305,46.4,0.5
199306,53.0,-3.4
199307,60.3,-1.8
199308,59.5,-1.2
199309,45.1,-6.2
199310,37.1,-1.0
199311,20.8,-5.4
199312,20.7,3.2
199401,15.8,-1.1
199402,12.5,-6.6
199403,28.7,1.3
199404,35.7,0.0
199405,49.0,3.1
199406,59.1,2.7
199407,58.1,-4.0
199408,60.8,0.1
199409,51.1,-0.2
199410,40.5,2.4
199411,27.3,1.1
199412,22.2,4.7
199501,18.4,1.5
199502,24.0,4.9
199503,26.2,-1.2
199504,32.3,-3.4
199505,42.6,-3.3
199506,54.0,-2.4
199507,59.8,-2.3
199508,63.2,2.5
199509,49.6,-1.7
199510,35.9,-2.2
199511,26.3,0.1
199512,17.3,-0.2
199601,11.4,-5.5
199602,17.4,-1.7
199603,19.8,-7.6
199604,33.7,-2.0
199605,47.4,1.5
199606,56.7,0.3
199607,61.6,-0.5
199608,60.0,-0.7
199609,50.5,-0.8
199610,37.6,-0.5
199611,23.3,-2.9
199612,14.8,-2.7
199701,13.7,-3.2
199702,19.7,0.6
199703,26.6,-0.8
199704,30.9,-4.8
199705,42.5,-3.4
199706,56.1,-0.3
199707,60.7,-1.4
199708,60.6,-0.1
199709,53.7,2.4
199710,38.8,0.7
199711,25.3,-0.9
199712,22.6,5.1
199801,19.4,2.5
199802,27.9,8.8
199803,24.9,-2.5
199804,34.2,-1.5
199805,47.3,1.4
199806,52.6,-3.8
199807,64.1,2.0
199808,61.1,0.4
199809,55.4,4.1
199810,40.4,2.3
199811,32.4,6.2
199812,17.3,-0.2
199901,19.7,2.8
199902,23.0,3.9
199903,27.1,-0.3
199904,35.5,-0.2
199905,45.4,-0.5
199906,55.2,-1.2
199907,63.8,1.7
199908,60.8,0.1
199909,48.0,-3.3
199910,36.2,-1.9
199911,28.6,2.4
199912,22.1,4.6
200001,18.8,1.9
200002,22.8,3.7
200003,30.4,3.0
200004,33.4,-2.3
200005,47.0,1.1
200006,53.8,-2.6
200007,62.5,0.4
200008,63.2,2.5
200009,50.4,-0.9
200010,41.0,2.9
200011,19.5,-6.7
200012,15.1,-2.4
200101,18.6,1.7
200102,19.2,0.1
200103,29.1,1.7
200104,38.5,2.8
200105,47.8,1.9
200106,55.7,-0.7
200107,65.7,3.6
200108,60.7,0.0
200109,51.0,-0.3
200110,36.8,-1.3
200111,29.4,3.2
200112,20.2,2.7
200201,17.5,0.6
200202,18.6,-0.5
200203,19.1,-8.3
200204,35.5,-0.2
200205,43.4,-2.5
200206,60.7,4.3
200207,63.8,1.7
200208,62.2,1.5
200209,51.5,0.2
200210,35.8,-2.3
200211,27.7,1.5
200212,19.7,2.2
200301,17.5,0.6
200302,16.4,-2.7
200303,28.5,1.1
200304,38.4,2.7
200305,47.5,1.6
200306,54.5,-1.9
200307,63.0,0.9
200308,62.2,1.5
200309,47.5,-3.8
200310,39.5,1.4
200311,26.0,-0.2
200312,19.1,1.6
200401,15.7,-1.2
200402,17.3,-1.8
200403,30.6,3.2
200404,35.0,-0.7
200405,47.0,1.1
200406,53.4,-3.0
200407,60.2,-1.9
200408,56.2,-4.5
200409,53.9,2.6
200410,42.2,4.1
200411,29.2,3.0
200412,21.3,3.8
200501,17.9,1.0
200502,24.0,4.9
200503,28.4,1.0
200504,36.4,0.7
200505,44.6,-1.3
200506,57.3,0.9
200507,61.7,-0.4
200508,61.0,0.3
200509,54.0,2.7
200510,39.3,1.2
200511,29.1,2.9
200512,17.9,0.4
200601,24.4,7.5
200602,17.4,-1.7
200603,27.3,-0.1
200604,37.3,1.6
200605,47.2,1.3
200606,58.8,2.4
200607,64.6,2.5
200608,61.9,1.2
200609,45.9,-5.4
200610,37.5,-0.6
200611,25.7,-0.5
200612,19.6,2.1
200701,8.4,-8.5
200702,16.2,-2.9
200703,35.1,7.7
200704,35.6,-0.1
200705,49.0,3.1
200706,56.2,-0.2
200707,63.3,1.2
200708,65.4,4.7
200709,52.5,1.2
200710,40.1,2.0
200711,24.9,-1.3
200712,14.4,-3.1
200801,14.1,-2.8
200802,19.2,0.1
200803,26.3,-1.1
200804,32.7,-3.0
200805,43.2,-2.7
