Rawlins County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.24,-0.18
198902,0.30,-0.20
198903,0.46,-0.53
198904,0.48,-1.58
198905,3.24,0.19
198906,4.71,1.53
198907,1.68,-1.72
198908,2.15,-0.88
198909,1.57,0.02
198910,0.32,-1.18
198911,0.00,-0.71
198912,0.32,-0.20
199001,1.27,0.85
199002,0.24,-0.26
199003,1.82,0.83
199004,0.95,-1.11
199005,6.73,3.68
199006,0.66,-2.52
199007,3.10,-0.30
199008,2.71,-0.32
199009,0.85,-0.70
199010,1.11,-0.39
199011,1.19,0.48
199012,0.20,-0.32
199101,0.18,-0.24
199102,0.14,-0.36
199103,0.93,-0.06
199104,2.58,0.52
199105,4.69,1.64
199106,3.72,0.54
199107,3.12,-0.28
199108,2.11,-0.92
199109,1.09,-0.46
199110,0.74,-0.76
199111,1.79,1.08
199112,1.10,0.58
199201,1.47,1.05
199202,1.10,0.60
199203,2.18,1.19
199204,0.10,-1.96
199205,1.17,-1.88
199206,5.21,2.03
199207,3.64,0.24
199208,6.79,3.76
199209,0.73,-0.82
199210,1.18,-0.32
199211,0.61,-0.10
199212,0.31,-0.21
199301,0.80,0.38
199302,1.41,0.91
199303,0.78,-0.21
199304,1.12,-0.94
199305,2.87,-0.18
199306,2.26,-0.92
199307,8.70,5.30
199308,5.96,2.93
199309,0.64,-0.91
199310,1.86,0.36
199311,1.07,0.36
199312,0.10,-0.42
199401,1.04,0.62
199402,0.30,-0.20
199403,0.07,-0.92
199404,3.38,1.32
199405,0.75,-2.30
199406,4.44,1.26
199407,4.08,0.68
199408,2.05,-0.98
199409,1.30,-0.25
199410,1.95,0.45
199411,1.38,0.67
199412,1.03,0.51
199501,0.67,0.25
199502,0.14,-0.36
199503,1.26,0.27
199504,2.95,0.89
199505,5.71,2.66
199506,3.01,-0.17
199507,3.05,-0.35
199508,1.17,-1.86
199509,1.80,0.25
199510,1.07,-0.43
199511,0.26,-0.45
199512,0.01,-0.51
199601,0.36,-0.06
