Sherman County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,32.9,2.6
198902,23.4,-8.9
198903,40.9,-0.9
198904,51.5,1.7
198905,60.3,0.5
198906,65.7,-5.0
198907,75.1,-1.1
198908,72.1,-1.7
198909,62.9,-2.7
198910,52.8,0.3
198911,41.2,1.3
198912,25.6,-4.7
199001,32.1,1.8
199002,31.5,-0.8
199003,41.7,-0.1
199004,50.7,0.9
199005,56.9,-2.9
199006,74.0,3.3
199007,73.9,-2.3
199008,73.6,-0.2
199009,68.1,2.5
199010,52.8,0.3
199011,42.5,2.6
199012,24.5,-5.8
199101,25.4,-4.9
199102,39.2,6.9
199103,41.6,-0.2
199104,50.1,0.3
199105,62.4,2.6
199106,72.4,1.7
199107,74.8,-1.4
199108,72.6,-1.2
199109,64.9,-0.7
199110,51.8,-0.7
199111,34.7,-5.2
199112,33.0,2.7
199201,31.2,0.9
199202,39.5,7.2
199203,44.2,2.4
199204,52.7,2.9
199205,60.6,0.8
199206,65.9,-4.8
199207,71.4,-4.8
199208,68.3,-5.5
199209,64.8,-0.8
199210,52.6,0.1
199211,33.4,-6.5
199212,22.7,-7.6
199301,22.0,-8.3
199302,23.4,-8.9
199303,39.6,-2.2
199304,47.0,-2.8
199305,58.9,-0.9
199306,67.5,-3.2
199307,72.8,-3.4
199308,70.9,-2.9
199309,59.4,-6.2
199310,50.6,-1.9
199311,33.6,-6.3
199312,33.1,2.8
199401,29.2,-1.1
199402,26.2,-6.1
199403,44.0,2.2
199404,49.2,-0.6
199405,63.1,3.3
199406,73.5,2.8
199407,72.9,-3.3
199408,75.0,1.2
199409,66.5,0.9
199410,53.0,0.5
199411,36.9,-3.0
199412,33.8,3.5
199501,31.4,1.1
199502,37.1,4.8
199503,39.7,-2.1
199504,45.0,-4.8
199505,52.2,-7.6
199506,66.6,-4.1
199507,74.1,-2.1
199508,77.4,3.6
199509,63.3,-2.3
199510,51.1,-1.4
199511,42.0,2.1
199512,32.2,1.9
199601,26.0,-4.3
199602,34.2,1.9
199603,35.2,-6.6
199604,50.1,0.3
199605,59.6,-0.2
199606,70.7,0.0
199607,74.0,-2.2
199608,71.4,-2.4
199609,61.7,-3.9
199610,52.5,0.0
199611,35.4,-4.5
199612,31.3,1.0
199701,27.3,-3.0
199702,31.0,-1.3
199703,43.5,1.7
199704,44.0,-5.8
199705,57.9,-1.9
199706,69.9,-0.8
199707,75.5,-0.7
199708,71.9,-1.9
199709,66.5,0.9
199710,51.8,-0.7
199711,36.6,-3.3
199712,29.6,-0.7
199801,31.8,1.5
199802,36.8,4.5
199803,37.2,-4.6
199804,47.5,-2.3
199805,62.9,3.1
199806,67.6,-3.1
199807,76.2,0.0
199808,73.4,-0.4
199809,69.9,4.3
199810,53.5,1.0
199811,43.1,3.2
199812,30.6,0.3
199901,33.0,2.7
199902,40.1,7.8
199903,41.2,-0.6
199904,47.0,-2.8
199905,59.0,-0.8
199906,68.1,-2.6
199907,77.7,1.5
199908,73.7,-0.1
199909,61.2,-4.4
199910,53.1,0.6
199911,46.6,6.7
199912,35.2,4.9
200001,32.3,2.0
200002,39.2,6.9
200003,42.0,0.2
200004,50.7,0.9
200005,62.5,2.7
200006,69.4,-1.3
200007,77.3,1.1
200008,77.8,4.0
200009,66.1,0.5
200010,53.9,1.4
200011,31.3,-8.6
200012,26.9,-3.4
200101,30.2,-0.1
200102,28.9,-3.4
200103,39.8,-2.0
200104,52.6,2.8
200105,60.6,0.8
200106,71.2,0.5
200107,79.6,3.4
200108,75.4,1.6
200109,65.9,0.3
200110,53.1,0.6
200111,43.8,3.9
200112,33.7,3.4
200201,31.6,1.3
200202,33.8,1.5
200203,34.2,-7.6
200204,52.2,2.4
200205,59.1,-0.7
200206,76.3,5.6
200207,78.9,2.7
200208,75.1,1.3
200209,65.6,0.0
200210,47.2,-5.3
200211,40.2,0.3
200212,34.9,4.6
200301,33.1,2.8
200302,28.9,-3.4
200303,42.6,0.8
200304,52.5,2.7
200305,60.0,0.2
200306,67.3,-3.4
200307,79.9,3.7
200308,76.6,2.8
200309,63.5,-2.1
200310,57.2,4.7
200311,38.1,-1.8
200312,33.4,3.1
200401,31.2,0.9
200402,31.8,-0.5
200403,46.5,4.7
200404,50.7,0.9
200405,62.8,3.0
200406,67.4,-3.3
200407,72.8,-3.4
200408,70.0,-3.8
200409,67.5,1.9
200410,53.8,1.3
200411,39.0,-0.9
200412,34.3,4.0
200501,30.2,-0.1
200502,37.1,4.8
200503,41.8,0.0
200504,49.6,-0.2
200505,60.1,0.3
200506,70.4,-0.3
200507,77.7,1.5
200508,73.7,-0.1
200509,68.7,3.1
200510,54.0,1.5
200511,44.0,4.1
200512,30.8,0.5
200601,38.5,8.2
200602,32.3,0.0
200603,40.8,-1.0
200604,53.6,3.8
200605,62.6,2.8
200606,73.3,2.6
200607,78.6,2.4
200608,74.4,0.6
200609,59.8,-5.8
200610,50.8,-1.7
200611,40.7,0.8
200612,30.9,0.6
200701,18.7,-11.6
200702,24.9,-7.4
200703,47.8,6.0
200704,47.3,-2.5
200705,62.1,2.3
200706,70.0,-0.7
200707,76.9,0.7
200708,77.8,4.0
200709,67.5,1.9
200710,55.0,2.5
200711,41.2,1.3
200712,26.4,-3.9
200801,27.6,-2.7
200802,32.1,-0.2
200803,41.2,-0.6
200804,47.6,-2.2
200805,58.5,-1.3
200806,69.7,-1.0
