Sherman County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,49.0,5.6
198902,35.3,-10.1
198903,57.3,1.0
198904,68.1,3.7
198905,74.1,0.4
198906,79.2,-6.2
198907,89.1,-1.4
198908,85.1,-2.6
198909,76.7,-3.8
198910,69.1,1.8
198911,57.3,3.4
198912,39.2,-4.1
199001,45.7,2.3
199002,42.0,-3.4
199003,54.2,-2.1
199004,64.7,0.3
199005,69.9,-3.8
199006,90.2,4.8
199007,87.7,-2.8
199008,88.2,0.5
199009,83.0,2.5
199010,68.3,1.0
199011,57.0,3.1
199012,36.8,-6.5
199101,37.0,-6.4
199102,56.2,10.8
199103,55.4,-0.9
199104,63.4,-1.0
199105,75.4,1.7
199106,85.8,0.4
199107,88.7,-1.8
199108,85.7,-2.0
199109,79.7,-0.8
199110,68.3,1.0
199111,45.7,-8.2
199112,43.4,0.1
199201,41.7,-1.7
199202,51.8,6.4
199203,58.2,1.9
199204,68.0,3.6
199205,75.2,1.5
199206,78.2,-7.2
199207,84.3,-6.2
199208,80.5,-7.2
199209,80.6,0.1
199210,68.0,0.7
199211,42.8,-11.1
199212,32.9,-10.4
199301,30.9,-12.5
199302,33.0,-12.4
199303,51.2,-5.1
199304,59.6,-4.8
199305,71.5,-2.2
199306,82.4,-3.0
199307,85.6,-4.9
199308,83.0,-4.7
199309,73.6,-6.9
199310,64.4,-2.9
199311,46.2,-7.7
199312,46.2,2.9
199401,42.7,-0.7
199402,38.9,-6.5
199403,60.2,3.9
199404,63.5,-0.9
199405,77.2,3.5
199406,88.7,3.3
199407,88.2,-2.3
199408,90.0,2.3
199409,82.6,2.1
199410,67.2,-0.1
199411,48.5,-5.4
199412,44.6,1.3
199501,43.7,0.3
199502,50.7,5.3
199503,52.8,-3.5
199504,58.1,-6.3
199505,62.0,-11.7
199506,79.9,-5.5
199507,88.8,-1.7
199508,92.6,4.9
199509,77.6,-2.9
199510,66.5,-0.8
199511,57.4,3.5
199512,46.6,3.3
199601,40.1,-3.3
199602,50.6,5.2
199603,50.6,-5.7
199604,67.2,2.8
199605,71.4,-2.3
199606,85.0,-0.4
199607,86.7,-3.8
199608,83.6,-4.1
199609,73.9,-6.6
199610,68.0,0.7
199611,48.4,-5.5
199612,46.7,3.4
199701,40.6,-2.8
199702,43.5,-1.9
199703,59.9,3.6
199704,57.7,-6.7
199705,72.9,-0.8
199706,83.8,-1.6
199707,90.5,0.0
199708,84.3,-3.4
199709,80.4,-0.1
199710,65.5,-1.8
199711,48.4,-5.5
199712,37.3,-6.0
199801,43.1,-0.3
199802,46.7,1.3
199803,49.7,-6.6
199804,61.6,-2.8
199805,78.0,4.3
199806,83.7,-1.7
199807,89.0,-1.5
199808,86.6,-1.1
199809,85.4,4.9
199810,67.7,0.4
199811,54.9,1.0
199812,43.9,0.6
199901,47.0,3.6
199902,57.1,11.7
199903,55.1,-1.2
199904,59.6,-4.8
199905,72.7,-1.0
199906,81.5,-3.9
199907,91.9,1.4
199908,87.1,-0.6
199909,75.1,-5.4
199910,70.0,2.7
199911,63.7,9.8
199912,49.3,6.0
200001,45.7,2.3
200002,54.9,9.5
200003,54.1,-2.2
200004,68.4,4.0
200005,78.1,4.4
200006,85.1,-0.3
200007,92.2,1.7
200008,93.9,6.2
200009,82.8,2.3
200010,68.0,0.7
200011,42.1,-11.8
200012,39.3,-4.0
200101,42.0,-1.4
200102,37.6,-7.8
200103,50.9,-5.4
200104,68.0,3.6
200105,73.8,0.1
200106,86.8,1.4
200107,94.0,3.5
200108,91.0,3.3
200109,80.9,0.4
200110,69.5,2.2
200111,59.4,5.5
200112,47.8,4.5
200201,45.9,2.5
200202,48.6,3.2
200203,49.5,-6.8
200204,68.4,4.0
200205,74.7,1.0
200206,92.0,6.6
200207,94.7,4.2
200208,89.7,2.0
200209,79.9,-0.6
200210,59.8,-7.5
200211,52.8,-1.1
200212,49.5,6.2
200301,47.2,3.8
200302,41.0,-4.4
200303,56.7,0.4
200304,66.5,2.1
200305,72.8,-0.9
200306,80.5,-4.9
200307,96.5,6.0
200308,91.7,4.0
200309,79.4,-1.1
200310,74.1,6.8
200311,51.1,-2.8
200312,47.7,4.4
200401,45.2,1.8
200402,44.7,-0.7
200403,62.1,5.8
200404,65.9,1.5
200405,78.9,5.2
200406,81.4,-4.0
200407,85.9,-4.6
200408,84.2,-3.5
200409,82.2,1.7
200410,66.9,-0.4
200411,49.1,-4.8
200412,47.1,3.8
200501,41.2,-2.2
200502,50.0,4.6
200503,56.0,-0.3
200504,64.0,-0.4
200505,75.1,1.4
200506,84.6,-0.8
200507,93.8,3.3
200508,87.7,0.0
200509,84.4,3.9
200510,68.8,1.5
200511,59.0,5.1
200512,43.3,0.0
200601,52.9,9.5
200602,47.4,2.0
200603,54.2,-2.1
200604,70.9,6.5
200605,78.8,5.1
200606,88.5,3.1
200607,92.8,2.3
200608,87.9,0.2
200609,74.3,-6.2
200610,64.2,-3.1
200611,55.8,1.9
200612,42.8,-0.5
200701,29.0,-14.4
200702,34.3,-11.1
200703,61.2,4.9
200704,59.6,-4.8
200705,75.7,2.0
200706,84.5,-0.9
200707,91.4,0.9
200708,91.5,3.8
200709,82.9,2.4
200710,70.4,3.1
200711,57.8,3.9
200712,37.3,-6.0
200801,40.1,-3.3
200802,45.2,-0.2
200803,55.7,-0.6
200804,62.4,-2.0
200805,74.1,0.4
200806,85.8,0.4
