Sherman County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,16.8,-0.4
198902,11.4,-7.8
198903,24.4,-2.9
198904,34.8,-0.4
198905,46.6,0.8
198906,52.3,-3.7
198907,61.0,-0.8
198908,59.1,-0.7
198909,49.2,-1.6
198910,36.4,-1.2
198911,25.2,-0.8
198912,12.1,-5.3
199001,18.4,1.2
199002,21.1,1.9
199003,29.1,1.8
199004,36.6,1.4
199005,43.9,-1.9
199006,57.8,1.8
199007,60.1,-1.7
199008,59.0,-0.8
199009,53.2,2.4
199010,37.3,-0.3
199011,27.9,1.9
199012,12.2,-5.2
199101,13.9,-3.3
199102,22.2,3.0
199103,27.9,0.6
199104,36.7,1.5
199105,49.5,3.7
199106,59.0,3.0
199107,61.0,-0.8
199108,59.6,-0.2
199109,50.0,-0.8
199110,35.3,-2.3
199111,23.7,-2.3
199112,22.6,5.2
199201,20.8,3.6
199202,27.1,7.9
199203,30.2,2.9
199204,37.3,2.1
199205,45.9,0.1
199206,53.6,-2.4
199207,58.5,-3.3
199208,56.1,-3.7
199209,49.0,-1.8
199210,37.2,-0.4
199211,23.9,-2.1
199212,12.4,-5.0
199301,13.1,-4.1
199302,13.9,-5.3
199303,28.0,0.7
199304,34.4,-0.8
199305,46.2,0.4
199306,52.7,-3.3
199307,60.1,-1.7
199308,58.8,-1.0
199309,45.3,-5.5
199310,36.8,-0.8
199311,21.0,-5.0
199312,20.1,2.7
199401,15.7,-1.5
199402,13.5,-5.7
199403,27.8,0.5
199404,34.9,-0.3
199405,48.9,3.1
199406,58.3,2.3
199407,57.6,-4.2
199408,59.9,0.1
199409,50.4,-0.4
199410,38.8,1.2
199411,25.2,-0.8
199412,23.0,5.6
199501,19.2,2.0
199502,23.5,4.3
199503,26.6,-0.7
199504,32.0,-3.2
199505,42.5,-3.3
199506,53.2,-2.8
199507,59.3,-2.5
199508,62.3,2.5
199509,49.0,-1.8
199510,35.6,-2.0
199511,26.5,0.5
199512,17.8,0.4
199601,11.8,-5.4
199602,17.8,-1.4
199603,19.8,-7.5
199604,33.0,-2.2
199605,47.7,1.9
199606,56.3,0.3
199607,61.2,-0.6
199608,59.3,-0.5
199609,49.5,-1.3
199610,37.0,-0.6
199611,22.3,-3.7
199612,15.9,-1.5
199701,14.0,-3.2
199702,18.5,-0.7
199703,27.1,-0.2
199704,30.2,-5.0
199705,42.9,-2.9
199706,55.9,-0.1
199707,60.6,-1.2
199708,59.6,-0.2
199709,52.6,1.8
199710,37.9,0.3
199711,24.9,-1.1
199712,21.8,4.4
199801,20.5,3.3
199802,26.8,7.6
199803,24.8,-2.5
199804,33.4,-1.8
199805,47.9,2.1
199806,51.6,-4.4
199807,63.4,1.6
199808,60.1,0.3
199809,54.5,3.7
199810,39.3,1.7
199811,31.4,5.4
199812,17.3,-0.1
199901,19.0,1.8
199902,23.1,3.9
199903,27.3,0.0
199904,34.4,-0.8
199905,45.1,-0.7
199906,54.6,-1.4
199907,63.6,1.8
199908,60.4,0.6
199909,47.2,-3.6
199910,36.2,-1.4
199911,29.5,3.5
199912,21.1,3.7
200001,18.9,1.7
200002,23.5,4.3
200003,29.9,2.6
200004,33.0,-2.2
200005,47.0,1.2
200006,53.7,-2.3
200007,62.3,0.5
200008,61.7,1.9
200009,49.4,-1.4
200010,39.9,2.3
200011,20.5,-5.5
200012,14.5,-2.9
200101,18.4,1.2
200102,20.2,1.0
200103,28.8,1.5
200104,37.2,2.0
200105,47.3,1.5
200106,55.6,-0.4
200107,65.3,3.5
200108,59.8,0.0
200109,50.8,0.0
200110,36.7,-0.9
200111,28.3,2.3
200112,19.6,2.2
200201,17.3,0.1
200202,19.0,-0.2
200203,19.0,-8.3
200204,36.0,0.8
200205,43.5,-2.3
200206,60.6,4.6
200207,63.1,1.3
200208,60.4,0.6
200209,51.3,0.5
200210,34.5,-3.1
200211,27.7,1.7
200212,20.2,2.8
200301,19.1,1.9
200302,16.8,-2.4
200303,28.4,1.1
200304,38.4,3.2
200305,47.2,1.4
200306,54.1,-1.9
200307,63.3,1.5
200308,61.5,1.7
200309,47.6,-3.2
200310,40.3,2.7
200311,25.1,-0.9
200312,19.1,1.7
200401,17.1,-0.1
200402,18.8,-0.4
200403,30.9,3.6
200404,35.6,0.4
200405,46.7,0.9
200406,53.4,-2.6
200407,59.6,-2.2
200408,55.7,-4.1
200409,52.7,1.9
200410,40.7,3.1
200411,28.8,2.8
200412,21.4,4.0
200501,19.2,2.0
200502,24.0,4.8
200503,27.7,0.4
200504,35.2,0.0
200505,45.1,-0.7
200506,56.2,0.2
200507,61.5,-0.3
200508,59.8,0.0
200509,52.9,2.1
200510,39.2,1.6
200511,28.9,2.9
200512,18.4,1.0
200601,24.2,7.0
200602,17.3,-1.9
200603,27.4,0.1
200604,36.4,1.2
200605,46.4,0.6
200606,58.1,2.1
200607,64.4,2.6
200608,61.0,1.2
200609,45.4,-5.4
200610,37.3,-0.3
200611,25.5,-0.5
200612,19.1,1.7
200701,8.4,-8.8
200702,15.6,-3.6
200703,34.5,7.2
200704,35.0,-0.2
200705,48.5,2.7
200706,55.5,-0.5
200707,62.5,0.7
200708,64.2,4.4
200709,52.0,1.2
200710,39.6,2.0
200711,24.5,-1.5
200712,15.5,-1.9
200801,15.0,-2.2
200802,19.1,-0.1
200803,26.6,-0.7
200804,32.7,-2.5
200805,42.9,-2.9
200806,53.6,-2.4
