Sherman County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.21,-0.16
198902,0.15,-0.32
198903,0.24,-0.62
198904,0.90,-0.86
198905,3.00,0.22
198906,6.27,3.39
198907,1.29,-1.80
198908,2.05,-0.80
198909,1.36,-0.10
198910,0.33,-1.04
198911,0.02,-0.56
198912,0.21,-0.20
199001,0.82,0.45
199002,0.56,0.09
199003,1.65,0.79
199004,1.01,-0.75
199005,4.37,1.59
199006,1.26,-1.62
199007,3.77,0.68
199008,2.05,-0.80
199009,1.44,-0.02
199010,1.03,-0.34
199011,1.24,0.66
199012,0.17,-0.24
199101,0.19,-0.18
199102,0.10,-0.37
199103,1.06,0.20
199104,1.30,-0.46
199105,3.97,1.19
199106,5.08,2.20
199107,3.93,0.84
199108,2.65,-0.20
199109,0.81,-0.65
199110,0.82,-0.55
199111,1.60,1.02
199112,1.05,0.64
199201,0.66,0.29
199202,0.69,0.22
199203,1.69,0.83
199204,0.05,-1.71
199205,1.34,-1.44
199206,4.85,1.97
199207,4.58,1.49
199208,4.91,2.06
199209,0.49,-0.97
199210,0.90,-0.47
199211,0.70,0.12
199212,0.24,-0.17
199301,0.46,0.09
199302,1.03,0.56
199303,0.88,0.02
199304,0.69,-1.07
199305,2.87,0.09
199306,1.41,-1.47
199307,6.54,3.45
199308,6.88,4.03
199309,0.43,-1.03
199310,2.15,0.78
199311,0.86,0.28
199312,0.08,-0.33
199401,0.53,0.16
199402,0.14,-0.33
199403,0.23,-0.63
199404,3.07,1.31
199405,1.25,-1.53
199406,2.45,-0.43
199407,2.98,-0.11
199408,1.44,-1.41
199409,0.43,-1.03
199410,2.00,0.63
199411,1.29,0.71
199412,0.46,0.05
199501,0.47,0.10
199502,0.33,-0.14
199503,1.20,0.34
199504,2.51,0.75
199505,5.36,2.58
199506,3.39,0.51
199507,3.51,0.42
199508,0.81,-2.04
199509,1.51,0.05
199510,0.67,-0.70
199511,0.31,-0.27
199512,0.05,-0.36
199601,0.41,0.04
199602,0.08,-0.39
