Thomas County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,48.8,5.5
198902,35.8,-9.8
198903,56.6,0.0
198904,69.8,4.5
198905,74.8,0.3
198906,79.3,-6.8
198907,89.7,-1.4
198908,85.5,-2.8
198909,77.0,-4.1
198910,69.9,1.8
198911,57.1,2.9
198912,39.0,-4.3
199001,45.6,2.3
199002,42.6,-3.0
199003,55.5,-1.1
199004,65.1,-0.2
199005,70.3,-4.2
199006,90.3,4.2
199007,89.0,-2.1
199008,89.0,0.7
199009,84.2,3.1
199010,69.7,1.6
199011,58.5,4.3
199012,36.5,-6.8
199101,36.2,-7.1
199102,56.6,11.0
199103,55.9,-0.7
199104,64.6,-0.7
199105,75.7,1.2
199106,86.6,0.5
199107,90.3,-0.8
199108,86.8,-1.5
199109,81.0,-0.1
199110,69.7,1.6
199111,45.6,-8.6
199112,44.0,0.7
199201,43.2,-0.1
199202,52.5,6.9
199203,59.6,3.0
199204,67.5,2.2
199205,76.2,1.7
199206,78.3,-7.8
199207,84.7,-6.4
199208,81.2,-7.1
199209,80.9,-0.2
199210,68.9,0.8
199211,43.1,-11.1
199212,33.4,-9.9
199301,29.9,-13.4
199302,32.0,-13.6
199303,50.0,-6.6
199304,59.3,-6.0
199305,72.0,-2.5
199306,83.5,-2.6
199307,85.9,-5.2
199308,84.4,-3.9
199309,73.6,-7.5
199310,65.1,-3.0
199311,48.0,-6.2
199312,47.2,3.9
199401,43.1,-0.2
199402,38.7,-6.9
199403,61.1,4.5
199404,64.7,-0.6
199405,77.9,3.4
199406,89.3,3.2
199407,88.2,-2.9
199408,90.9,2.6
199409,82.5,1.4
199410,68.3,0.2
199411,50.6,-3.6
199412,45.2,1.9
199501,43.4,0.1
199502,52.3,6.7
199503,52.0,-4.6
199504,59.2,-6.1
199505,62.6,-11.9
199506,80.8,-5.3
199507,90.1,-1.0
199508,93.9,5.6
199509,78.1,-3.0
199510,67.9,-0.2
199511,57.6,3.4
199512,46.3,3.0
199601,40.3,-3.0
199602,51.2,5.6
199603,50.8,-5.8
199604,68.4,3.1
199605,71.5,-3.0
199606,85.1,-1.0
199607,87.3,-3.8
199608,83.4,-4.9
199609,73.6,-7.5
199610,68.9,0.8
199611,47.8,-6.4
199612,45.9,2.6
199701,41.4,-1.9
199702,43.9,-1.7
199703,60.2,3.6
199704,59.1,-6.2
199705,73.1,-1.4
199706,84.6,-1.5
199707,91.7,0.6
199708,85.2,-3.1
199709,81.4,0.3
199710,66.6,-1.5
199711,49.1,-5.1
199712,38.4,-4.9
199801,42.8,-0.5
199802,47.4,1.8
199803,48.8,-7.8
199804,62.0,-3.3
199805,79.0,4.5
199806,85.0,-1.1
199807,90.3,-0.8
199808,88.0,-0.3
199809,86.4,5.3
199810,69.0,0.9
199811,55.4,1.2
199812,45.0,1.7
199901,46.5,3.2
199902,57.5,11.9
199903,54.4,-2.2
199904,61.2,-4.1
199905,74.3,-0.2
199906,82.0,-4.1
199907,92.2,1.1
199908,87.6,-0.7
199909,76.9,-4.2
199910,70.5,2.4
199911,64.7,10.5
199912,50.0,6.7
200001,46.6,3.3
200002,54.7,9.1
200003,55.0,-1.6
200004,69.4,4.1
200005,78.6,4.1
200006,86.2,0.1
200007,92.9,1.8
200008,95.2,6.9
200009,84.0,2.9
200010,69.5,1.4
200011,41.6,-12.6
200012,38.5,-4.8
200101,42.4,-0.9
200102,37.0,-8.6
200103,50.4,-6.2
200104,68.4,3.1
200105,74.3,-0.2
200106,86.2,0.1
200107,95.4,4.3
200108,90.8,2.5
200109,80.6,-0.5
200110,69.5,1.4
200111,60.2,6.0
200112,48.7,5.4
200201,47.1,3.8
200202,48.8,3.2
200203,50.2,-6.4
200204,69.3,4.0
200205,74.7,0.2
200206,92.8,6.7
200207,95.0,3.9
200208,89.6,1.3
200209,80.8,-0.3
200210,59.6,-8.5
200211,53.6,-0.6
200212,50.0,6.7
200301,47.8,4.5
200302,42.1,-3.5
200303,56.7,0.1
200304,67.6,2.3
200305,73.8,-0.7
200306,81.9,-4.2
200307,96.8,5.7
200308,92.5,4.2
200309,80.9,-0.2
200310,74.8,6.7
200311,50.7,-3.5
200312,48.1,4.8
200401,44.6,1.3
200402,44.1,-1.5
200403,62.3,5.7
200404,67.3,2.0
200405,79.4,4.9
200406,82.3,-3.8
200407,86.8,-4.3
200408,84.9,-3.4
200409,83.0,1.9
200410,67.3,-0.8
200411,50.5,-3.7
200412,47.4,4.1
200501,40.8,-2.5
200502,49.6,4.0
200503,56.8,0.2
200504,64.5,-0.8
200505,76.6,2.1
200506,85.8,-0.3
200507,93.4,2.3
200508,88.6,0.3
200509,84.7,3.6
200510,69.8,1.7
200511,59.7,5.5
200512,42.8,-0.5
200601,54.4,11.1
200602,47.7,2.1
200603,55.7,-0.9
200604,71.6,6.3
200605,79.4,4.9
200606,89.1,3.0
200607,93.9,2.8
200608,89.0,0.7
200609,75.8,-5.3
200610,65.0,-3.1
200611,56.1,1.9
200612,43.5,0.2
200701,29.6,-13.7
200702,34.3,-11.3
200703,61.5,4.9
200704,59.9,-5.4
200705,77.0,2.5
200706,84.9,-1.2
200707,90.9,-0.2
200708,92.6,4.3
200709,83.5,2.4
200710,71.3,3.2
200711,58.7,4.5
200712,37.5,-5.8
200801,40.7,-2.6
200802,45.4,-0.2
200803,56.7,0.1
200804,62.1,-3.2
200805,74.4,-0.1
200806,85.9,-0.2
