Thomas County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,16.1,-0.7
198902,11.4,-7.7
198903,24.4,-2.8
198904,35.5,-0.1
198905,47.3,1.2
198906,52.8,-3.8
198907,61.0,-1.2
198908,59.8,-0.6
198909,49.0,-2.2
198910,36.5,-1.5
198911,24.1,-1.8
198912,11.9,-5.6
199001,17.9,1.1
199002,21.3,2.2
199003,28.9,1.7
199004,37.1,1.5
199005,44.5,-1.6
199006,59.1,2.5
199007,60.6,-1.6
199008,60.5,0.1
199009,53.4,2.2
199010,37.4,-0.6
199011,28.1,2.2
199012,12.8,-4.7
199101,14.0,-2.8
199102,22.1,3.0
199103,27.9,0.7
199104,37.6,2.0
199105,50.2,4.1
199106,60.0,3.4
199107,61.6,-0.6
199108,60.1,-0.3
199109,49.9,-1.3
199110,34.7,-3.3
199111,23.2,-2.7
199112,22.7,5.2
199201,21.7,4.9
199202,27.0,7.9
199203,30.0,2.8
199204,37.0,1.4
199205,45.8,-0.3
199206,54.1,-2.5
199207,58.6,-3.6
199208,55.8,-4.6
199209,49.0,-2.2
199210,37.1,-0.9
199211,24.0,-1.9
199212,12.0,-5.5
199301,12.2,-4.6
199302,13.5,-5.6
199303,27.0,-0.2
199304,34.6,-1.0
199305,46.3,0.2
199306,53.2,-3.4
199307,60.2,-2.0
199308,59.4,-1.0
199309,45.3,-5.9
199310,37.1,-0.9
199311,21.3,-4.6
199312,19.9,2.4
199401,14.6,-2.2
199402,12.7,-6.4
199403,28.2,1.0
199404,35.5,-0.1
199405,49.2,3.1
199406,58.6,2.0
199407,58.0,-4.2
199408,60.5,0.1
199409,51.1,-0.1
199410,39.5,1.5
199411,26.6,0.7
199412,22.7,5.2
199501,19.0,2.2
199502,24.0,4.9
199503,26.1,-1.1
199504,32.0,-3.6
199505,42.1,-4.0
199506,53.6,-3.0
199507,59.6,-2.6
199508,63.0,2.6
199509,49.2,-2.0
199510,35.5,-2.5
199511,25.9,0.0
199512,17.0,-0.5
199601,11.0,-5.8
199602,17.6,-1.5
199603,18.9,-8.3
199604,32.9,-2.7
199605,47.2,1.1
199606,56.4,-0.2
199607,61.6,-0.6
199608,59.4,-1.0
199609,50.0,-1.2
199610,37.9,-0.1
199611,22.9,-3.0
199612,15.3,-2.2
199701,13.4,-3.4
199702,18.9,-0.2
199703,27.0,-0.2
199704,30.6,-5.0
199705,42.5,-3.6
199706,55.6,-1.0
199707,60.5,-1.7
199708,60.0,-0.4
199709,53.5,2.3
199710,38.4,0.4
199711,24.8,-1.1
199712,22.4,4.9
199801,20.5,3.7
199802,27.7,8.6
199803,24.5,-2.7
199804,34.5,-1.1
199805,47.9,1.8
199806,52.6,-4.0
199807,64.3,2.1
199808,61.1,0.7
199809,55.2,4.0
199810,40.5,2.5
199811,32.1,6.2
199812,18.1,0.6
199901,19.4,2.6
199902,23.4,4.3
199903,26.9,-0.3
199904,35.3,-0.3
199905,45.5,-0.6
199906,55.2,-1.4
199907,64.1,1.9
199908,60.6,0.2
199909,48.2,-3.0
199910,35.7,-2.3
199911,28.7,2.8
199912,21.2,3.7
200001,18.6,1.8
200002,23.2,4.1
200003,30.3,3.1
200004,32.9,-2.7
200005,47.2,1.1
200006,53.9,-2.7
200007,62.7,0.5
200008,62.4,2.0
200009,49.7,-1.5
200010,40.6,2.6
200011,19.5,-6.4
200012,14.6,-2.9
200101,17.6,0.8
200102,19.3,0.2
200103,29.0,1.8
200104,38.4,2.8
200105,47.7,1.6
200106,56.0,-0.6
200107,65.7,3.5
200108,60.3,-0.1
200109,50.7,-0.5
200110,36.1,-1.9
200111,28.8,2.9
200112,19.4,1.9
200201,17.2,0.4
200202,18.6,-0.5
200203,18.9,-8.3
200204,36.2,0.6
200205,43.6,-2.5
200206,60.8,4.2
200207,63.3,1.1
200208,61.3,0.9
200209,51.3,0.1
200210,35.3,-2.7
200211,27.3,1.4
200212,19.4,1.9
200301,17.7,0.9
200302,16.6,-2.5
200303,28.2,1.0
200304,38.2,2.6
200305,47.1,1.0
200306,54.6,-2.0
200307,63.8,1.6
200308,62.0,1.6
200309,47.5,-3.7
200310,39.7,1.7
200311,25.2,-0.7
200312,19.2,1.7
200401,16.3,-0.5
200402,18.0,-1.1
200403,31.1,3.9
200404,35.8,0.2
200405,47.0,0.9
200406,54.0,-2.6
200407,60.3,-1.9
200408,56.4,-4.0
200409,53.7,2.5
200410,42.2,4.2
200411,29.8,3.9
200412,21.2,3.7
200501,18.2,1.4
200502,24.5,5.4
200503,28.1,0.9
200504,36.1,0.5
200505,44.8,-1.3
200506,56.9,0.3
200507,61.5,-0.7
200508,60.4,0.0
200509,53.4,2.2
200510,39.7,1.7
200511,28.7,2.8
200512,18.0,0.5
200601,23.8,7.0
200602,16.8,-2.3
200603,27.8,0.6
200604,37.1,1.5
200605,47.1,1.0
200606,58.5,1.9
200607,64.2,2.0
200608,61.5,1.1
200609,45.5,-5.7
200610,37.5,-0.5
200611,25.2,-0.7
200612,19.3,1.8
200701,7.9,-8.9
200702,15.7,-3.4
200703,35.2,8.0
200704,35.3,-0.3
200705,49.2,3.1
200706,55.7,-0.9
200707,62.8,0.6
200708,65.4,5.0
200709,52.6,1.4
200710,40.1,2.1
200711,24.6,-1.3
200712,16.9,-0.6
200801,15.1,-1.7
200802,18.7,-0.4
200803,26.2,-1.0
200804,32.5,-3.1
200805,43.1,-3.0
