Thomas County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.19,-0.20
198902,0.21,-0.29
198903,0.62,-0.37
198904,0.79,-1.08
198905,4.17,1.06
198906,4.42,1.47
198907,2.31,-1.16
198908,1.69,-1.25
198909,1.87,0.24
198910,0.53,-0.96
198911,0.00,-0.67
198912,0.31,-0.17
199001,0.86,0.47
199002,0.56,0.06
199003,1.70,0.71
199004,1.14,-0.73
199005,6.15,3.04
199006,0.89,-2.06
199007,3.56,0.09
199008,2.18,-0.76
199009,1.73,0.10
199010,0.63,-0.86
199011,0.97,0.30
199012,0.43,-0.05
199101,0.23,-0.16
199102,0.10,-0.40
199103,0.69,-0.30
199104,1.73,-0.14
199105,4.14,1.03
199106,4.17,1.22
199107,3.54,0.07
199108,2.02,-0.92
199109,0.80,-0.83
199110,0.79,-0.70
199111,1.74,1.07
199112,1.03,0.55
199201,1.15,0.76
199202,0.98,0.48
199203,1.79,0.80
199204,0.14,-1.73
199205,1.68,-1.43
199206,4.56,1.61
199207,6.13,2.66
199208,4.54,1.60
199209,1.39,-0.24
199210,1.21,-0.28
199211,0.72,0.05
199212,0.43,-0.05
199301,0.84,0.45
199302,1.60,1.10
199303,1.39,0.40
199304,0.89,-0.98
199305,2.41,-0.70
199306,1.31,-1.64
199307,8.09,4.62
199308,9.09,6.15
199309,0.46,-1.17
199310,1.08,-0.41
199311,0.89,0.22
199312,0.06,-0.42
199401,0.52,0.13
199402,0.28,-0.22
199403,0.12,-0.87
199404,3.27,1.40
199405,0.88,-2.23
199406,3.72,0.77
199407,4.86,1.39
199408,1.38,-1.56
199409,0.94,-0.69
199410,1.95,0.46
199411,1.53,0.86
199412,0.69,0.21
199501,0.60,0.21
199502,0.25,-0.25
199503,1.40,0.41
199504,2.33,0.46
199505,7.31,4.20
199506,2.53,-0.42
199507,3.68,0.21
199508,0.69,-2.25
199509,1.42,-0.21
199510,0.55,-0.94
199511,0.20,-0.47
199512,0.02,-0.46
199601,0.28,-0.11
