Wallace County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,49.1,5.0
198902,35.9,-10.5
198903,58.4,1.3
198904,69.9,4.4
198905,74.3,-0.3
198906,79.7,-6.5
198907,88.9,-2.3
198908,85.2,-3.1
198909,77.6,-3.6
198910,69.4,1.2
198911,57.8,3.2
198912,39.8,-4.1
199001,45.3,1.2
199002,43.0,-3.4
199003,54.9,-2.2
199004,65.3,-0.2
199005,71.0,-3.6
199006,90.8,4.6
199007,88.4,-2.8
199008,89.2,0.9
199009,83.4,2.2
199010,70.3,2.1
199011,58.6,4.0
199012,37.3,-6.6
199101,36.5,-7.6
199102,56.3,9.9
199103,56.4,-0.7
199104,64.2,-1.3
199105,76.6,2.0
199106,86.4,0.2
199107,89.3,-1.9
199108,86.2,-2.1
199109,80.0,-1.2
199110,69.3,1.1
199111,45.5,-9.1
199112,42.6,-1.3
199201,43.8,-0.3
199202,52.1,5.7
199203,59.6,2.5
199204,68.9,3.4
199205,75.4,0.8
199206,78.4,-7.8
199207,86.0,-5.2
199208,81.1,-7.2
199209,81.8,0.6
199210,69.2,1.0
199211,42.4,-12.2
199212,32.1,-11.8
199301,30.8,-13.3
199302,32.8,-13.6
199303,51.6,-5.5
199304,60.8,-4.7
199305,72.3,-2.3
199306,83.4,-2.8
199307,87.4,-3.8
199308,84.2,-4.1
199309,75.6,-5.6
199310,65.0,-3.2
199311,47.2,-7.4
199312,47.2,3.3
199401,43.8,-0.3
199402,42.2,-4.2
199403,60.8,3.7
199404,64.5,-1.0
199405,77.2,2.6
199406,90.0,3.8
199407,89.1,-2.1
199408,90.4,2.1
199409,82.7,1.5
199410,68.0,-0.2
199411,49.7,-4.9
199412,45.0,1.1
199501,44.0,-0.1
199502,50.8,4.4
199503,52.8,-4.3
199504,59.5,-6.0
199505,63.0,-11.6
199506,80.7,-5.5
199507,89.4,-1.8
199508,93.6,5.3
199509,77.6,-3.6
199510,68.2,0.0
199511,59.0,4.4
199512,46.5,2.6
199601,42.4,-1.7
199602,51.7,5.3
199603,52.3,-4.8
199604,68.3,2.8
199605,73.4,-1.2
199606,85.8,-0.4
199607,87.5,-3.7
199608,84.0,-4.3
199609,74.4,-6.8
199610,69.2,1.0
199611,48.6,-6.0
199612,47.5,3.6
199701,41.8,-2.3
199702,43.8,-2.6
199703,61.6,4.5
199704,58.6,-6.9
199705,73.4,-1.2
199706,83.2,-3.0
199707,90.9,-0.3
199708,85.0,-3.3
199709,81.4,0.2
199710,67.0,-1.2
199711,49.4,-5.2
199712,37.6,-6.3
199801,44.1,0.0
199802,47.9,1.5
199803,50.8,-6.3
199804,62.3,-3.2
199805,79.0,4.4
199806,85.0,-1.2
199807,90.0,-1.2
199808,87.4,-0.9
199809,86.1,4.9
199810,70.1,1.9
199811,56.4,1.8
199812,45.2,1.3
199901,48.2,4.1
199902,58.8,12.4
199903,55.9,-1.2
199904,62.3,-3.2
199905,73.3,-1.3
199906,82.4,-3.8
199907,92.1,0.9
199908,88.2,-0.1
199909,76.5,-4.7
199910,70.3,2.1
199911,64.7,10.1
199912,50.4,6.5
200001,46.8,2.7
200002,56.0,9.6
200003,54.8,-2.3
200004,69.4,3.9
200005,79.0,4.4
200006,85.5,-0.7
200007,92.8,1.6
200008,94.3,6.0
200009,83.9,2.7
200010,68.7,0.5
200011,43.6,-11.0
200012,40.5,-3.4
200101,42.1,-2.0
200102,39.8,-6.6
200103,51.7,-5.4
200104,69.0,3.5
200105,74.5,-0.1
200106,87.3,1.1
200107,95.2,4.0
200108,91.5,3.2
200109,81.7,0.5
200110,70.1,1.9
200111,60.4,5.8
200112,50.0,6.1
200201,46.7,2.6
200202,48.7,2.3
200203,52.1,-5.0
200204,69.9,4.4
200205,75.8,1.2
200206,92.0,5.8
200207,94.4,3.2
200208,89.9,1.6
200209,80.3,-0.9
200210,59.9,-8.3
200211,53.4,-1.2
200212,49.8,5.9
200301,47.9,3.8
200302,42.5,-3.9
200303,57.2,0.1
200304,68.0,2.5
200305,73.6,-1.0
200306,80.4,-5.8
200307,96.7,5.5
200308,92.4,4.1
200309,79.6,-1.6
200310,74.5,6.3
200311,51.4,-3.2
200312,49.4,5.5
200401,46.4,2.3
200402,46.0,-0.4
200403,63.1,6.0
200404,66.6,1.1
200405,80.3,5.7
200406,82.3,-3.9
200407,85.8,-5.4
200408,83.9,-4.4
200409,82.5,1.3
200410,67.3,-0.9
200411,49.8,-4.8
200412,49.2,5.3
200501,42.5,-1.6
200502,50.2,3.8
200503,56.9,-0.2
200504,64.9,-0.6
200505,75.8,1.2
200506,85.4,-0.8
200507,93.9,2.7
200508,87.9,-0.4
200509,84.4,3.2
200510,69.7,1.5
200511,59.7,5.1
200512,44.7,0.8
200601,53.2,9.1
200602,48.7,2.3
200603,56.0,-1.1
200604,72.2,6.7
200605,79.1,4.5
200606,89.1,2.9
200607,93.1,1.9
200608,89.0,0.7
200609,75.6,-5.6
200610,65.6,-2.6
200611,57.4,2.8
200612,43.7,-0.2
200701,29.9,-14.2
200702,34.5,-11.9
200703,61.5,4.4
200704,59.7,-5.8
200705,76.2,1.6
200706,85.0,-1.2
200707,91.5,0.3
200708,92.4,4.1
200709,84.0,2.8
200710,71.7,3.5
200711,58.9,4.3
200712,38.9,-5.0
200801,41.9,-2.2
200802,45.8,-0.6
200803,57.2,0.1
200804,62.7,-2.8
200805,75.8,1.2
200806,86.5,0.3
